cancel_order,change_order,change_shipping_address,check_cancellation_fee,check_invoices,check_payment_methods,check_refund_policy,complaint,contact_customer_service,contact_human_agent,create_account,delete_account,delivery_options,delivery_period,edit_account,get_invoice,get_refund,newsletter_subscription,payment_issue,place_order,recover_password,registration_problems,review,set_up_shipping_address,switch_account,track_order,track_refund
help me cancel an order,"I purchased an item, help me change my order",I want to make changes to my shipping adress, where to see the cancellation penalty?,"I didn't receive my invoice, view it", to give me information about their payment methods?,where can I see your refund policy?,"I'm not happy with the service, what do I have to do to submit a consumer complaint?"," how to call customer supoort, please",how do I talk to a person?,could i create a user account?," how i could remove my account, please",how to view the options for ticket delivery,can you give me information about the delivery period?, how to update my profile ?,can you obtain a bill?,"i wanna obtain a reimbursement, what should i do?"," how I could subscribe to the fucking newsletter, please?","I have an issue making a payment, how can I report it?","I want to make a purchase, what should I do?","I lost my account password, how can I retrieve it?",I found problems while registering,i need help leaving an opinion,"i have no shipping address, how do i set one up?",how can i change to another user account?,can u ask  where to see the cancellation penalty?,can you give me information about the status of my refund?
"I want to cancel a purchase, what do I have to do?","I bought something, whta can I do to change my order?",how can i change my shipping address?,I want to view the cancellation penalties,"I lost my invoices, can you show them?",i want to know if i can make an payment with credot card,"I want to check your refund policy, what can I do?","I am discontent with the service, how could I file a fucking complaint?","i have a question, what do i have to do to call customer support?"," how to talk to a human, please?","i dont have an online account, what do i have to do to open one?","I changed my mind, can you delete my usef account?",how to check the delivery options,how fast can I expect my ticket to arrive?,help me modify the information on my profile,i want to ask for information about geting a bill,"the show was postponed, what do I have to do to obtain a reimbursement?",i wanna know if theres a newsletter ot keep me up-to-date,I need help reporting issues making a payment, if I can place a fucking order,"please,  to retrieved my password?",I'm having problems when trying to sign up,how can I write an opinion for a service?,"I have no shipping address, what should I do to set one up?",how to change to another rpofile,I want to know if I can check my package, if i can see the fucking status of my refund
how do I cancel an order?,tell me if i can change my order,"my shipping address has changed, hat can Ido?", how to view the cancellation fee?,"I didn't receive my bill, what should I do to check it?",can you tell me if I can make a payment with Master Card?,where do I view your money back guarantee?,"I am not happy with the service, could I file a consumer complaint?",can you give me information about the email of the Client Service?,"I can't understand you, how do I contact a human?","ive got no user account, help me open one","I changed my mind, how do I cancel my account?",I wantinformation about the  ticket delivery options,I want to know how soon I can expect my ticket to arrive, how to edit the information on my profile,"I want to obtain some invoices, tell me how to do it","the show was postponed, how do I request a refund?","i'd like to receive the newsletter, can you tell me how I can do it, please?",I get an error message when I attempt to pay with card,where to make an order,"I lost my password, how can I reset it?",I'm having issues creating a profile,i am happy with the service and i wanna lodge an opinion,"i dont have a fucking shipping address, what do i have to do to set it up?","i want to use my other user account, how can i switch them?",is it possible to track my orders?,where do I track my refund?
can I cancel an order?,"I bought something, can I modify my order?"," how I could modify my shipping address, please",show me the cancellation penalty,"I want to check my invoices, what do I have to do?","I want to check your payment methods, what do I have to do?","I want to  check your money back pplicy, what do I have to do?",im discontent with the service and i want to file a consumer complaint,can you show me the email of Customer Service?,"I can't understand you, contact a human, please",tell me if I can create more than one user account with the same email address,"I don't want my user account, what should I do to delete it?",can you give me information about the options for delivery?,I want information about the delivery period for my ticket,can I modify the information on my profile?, where to request an invoice?,"the game was cancelled, get a refund",tell me about subscribing to the newsletter,"I have an issue when trying to make a payment with card, can you help me?",I want to make a purchase,"i want ro reset my account password, what do i have to do?",I had a issue creating a profile,"I'm happy with the service, how do I submit an opinion?","I don't have a shipping address, help me set it up","I want to use my other online account, what should I do to change them?",i want to know how I can know where my shipments are,where to see the status of my refund
i  wanna cancel an order,i wanna get information about modifying my order, how i can change my shipping address?,canyou find information about the cancellation fee?," how to view my bill, please",tell me what payment optins you accept,how can I see your money back policy ?,"I want to submit a complaint, what do I have to do?",can you give me information about the email of the Customer Support?,i need help talking to a human agent,i wanna know if i could have more than one user account,i dont want my online acount and i wanna remove it,"i wanna see the optyions for delivery, what should i do?",I want to know when my tickets are going to arrive,help me update my profile,"please, Id like to ask for information about requesting an invoice",the event was postponed and i wanna obtain a refund, if theres a newsletter i could subscribe to,"I have an issue paying for my online order, what can I do?",sak z how i can make a purchase,"I forgot my password, retrieve it, please",I found a problem while creating an account,"i want to submit a review, what do i have to do?","please,  how i can set up my shipping address?","I want to use my other online account, I neerd help changing them",help me check my deliveties,"i wanna see the status of my reimbursement, what can i do?"
how can i cancel a purchase?,"I bought a product, can I change my order?", to make  changes to my shipping address,where to view the cancellation penalties,"i wanna check my invoices, could u help me?",can I view your payment options?,"I want to check your money back policy, what should I do?",how can I lodge a complaint?,can u show me the phone number to contact customer support?,"u are not helping, can u talk to a human agent?",help me open a user account, if i can delete my profile,"I want to view the delivery options, what do I have to do?",I need information about the delivery period for my ticket,how can I update the information on my profile?,tell me where to see an invoice,how to get a reimbursement,I need information about receiving the newsletter,can I report problems paying?, if i can make a purchase,"my user account was hacked, help me get it back",I'm having reigstration issues,"i wanna make a review for a service, what can i do?","I want o set up my shipping address, what do I have to do?","I want to use my other user account, can you switch them?","please, can you tell me how I could check my shipments?", where i can view the status of my reimbursement
 how i could cancel an order,"I bought a product, what should I do to change my purchase?",where do I update my shipping address?,check the cancellation penalties,"I can't find my bill, can you view it?",I need help viewing your payment methods,where can I view your reimbursement policy?,"please, could u  where to lodge a consumer complaint for a service?","I have a question, I need help calling Customer Service","i dont understand you, contact someone","I haven't got a profile, how can I create one?","could u  to cancel my profile, please?",where do I view the ticket delivery options?, when my tickets will arrive,how do I update my profile?,I want to know how to see a bilo,"the game was postponed, obtain a reimbursement",tell me how to subscribe to the newsletter,"I have a problem paying for my order, can you inform of it?",how can i make an order?,"I lost my account password, can you recover it?",I had issues when trying to sign up,I want to write a review,"I do not have a fucking shipping address, how could I set it up?",can I change to another profile?, if i can chexk my shipments,where do I see the status of my refund?
" if i could cancel a purchase, please",can you tell me if I can change my purchase?,"I want to edit my shipping address, can you help me?", for information about the cancellation penalties?,"I lost my invoice, what should I do to check it?","please,  to show me their payment methods",how to check your refund policy,where can I lodge a complaint for a service?,"I have a question, I need help contacting Customer Support",u are not helping and i want to talk to a person,can i register several fucking online accounts with a single email ?,"i dont want my online account, how can i remove it?",can you give me information about the ticket delivery options?,can you show me the delivery period for my tickets?,"help me update my fucking profile, please", if i can obtain an invoice,"the event was cancelled and i want to obtain a fucking reimbursement, please","I want to subscribe to the newsletter, tell me where I can do it","I have an issue paying for my online order, what can I do to inform of it?","I would like to make a fucking order, can you help me?","I want to recover my account password, how can I do it?",I had problems creating an account, how to write a review for a service?,"I have no shipping address, how can I set one up?","help mew switch to another online account, please",could u  if i can see the tsatus of my fucking purchase?,"I would like to view the status of my refund, could you help me, please?"
"i wanna cancel an order, what should i do?","I  ordered something, what should I do to modify my order?","i wanna update my shipping address, what should i do?","I want to check the cancellation fee, what should I do?","i lost my invoices, can u show them, please?"," where to see their payment options, please",I'm interested in your money back policy and I need informtaion abuot it,"I am discontent with the service and I want to submit a consumer complaint, please", what the email address to contact Client Service is,"you arent helping, speak with a person",tell me if I can have several accounts,"I changed my mind, I need help closing my profile",can you show me the ticket delivery options?, whats the delivery period for my tickets?, how to edit my profile,i need help seeing a bill,"the event was postponed, can I obtain a reimbursement?",I wanna know if you have a newsletter to stay up-to-date,"i have a problem when trying to make a payment with card, can i notify it?","I want to place a order, what do I have to do?","i forgot my account password, retrieve it",There's an issue with the registration,"i am happy with the service, help me submit a comment",I need help setting up my shipping address, to switch to another fucking account,can i track my order?,"I want to view the status of my reimbursement, can you help me?"
"I want to cancel a purchase, can you help me?",I want to request information about modifying my order,where do I change my shipping address?,"I want to view cancerllation fees, what should I do?",I didn't receive my bills and I want to see them,can I see your payment methods?,"I don't know anything about your refund policy, tell me about it",how can i make a complaint for a service?,what's the email address to contact Client Service?,"you're not helping, what do I have to do to contact a human agent?",I want to know if I can register more than one profile with a single email address,"I want to cancel my account, where can I do it?",show me the options for ticket delivery, when my tickets are gonna to arrive, if I can update the information on my profile?,download a bill,"the game was postponed, how can I get a reimbursement?",receive  the newsletter,"I got an error when I attempted to make a payment, but my card was charged anyway, what can I do to report it?", where i can make an order,"my account has been hacked, how do i recover it?",I found a problem when trying to create an account,where do I leave a comment?,where can I set up my shkpping address?,"I'd like to use my other user account, I need help switching them",tell me where to check my orders," were I could check the fucking status of my refund, please?"
